x	y	dx	dy
0.54030	0.21666 	0.000005	0.000005
0.54030	0.22101 	0.000005	0.000005
0.54030	0.21892 	0.000005	0.000005
0.54030	0.22101 	0.000005	0.000005
0.54030	0.21811 	0.000005	0.000005
0.54030	0.22327 	0.000005	0.000005
0.54030	0.22520 	0.000005	0.000005
0.54030	0.21747 	0.000005	0.000005
0.54030	0.22520 	0.000005	0.000005
0.54030	0.21924 	0.000005	0.000005
0.54030	0.22134 	0.000005	0.000005
0.54030	0.22117 	0.000005	0.000005
0.54030	0.21682 	0.000005	0.000005
0.54030	0.22166 	0.000005	0.000005
0.54030	0.21570 	0.000005	0.000005
0.54030	0.22391 	0.000005	0.000005
0.54030	0.22198 	0.000005	0.000005
0.54030	0.22021 	0.000005	0.000005
0.54030	0.21779 	0.000005	0.000005
0.54031	0.22569 	0.000005	0.000005
0.54033	0.23084 	0.000005	0.000005
0.54033	0.23487 	0.000005	0.000005
0.54037	0.23213 	0.000005	0.000005
0.54043	0.24131 	0.000005	0.000005
0.54050	0.24905 	0.000005	0.000005
0.54050	0.24631 	0.000005	0.000005
0.54050	0.25130 	0.000005	0.000005
0.54069	0.26065 	0.000005	0.000005
0.54081	0.26854 	0.000005	0.000005
0.54095	0.26886 	0.000005	0.000005
0.54110	0.28320 	0.000005	0.000005
0.54146	0.29690 	0.000005	0.000005
0.54165	0.29045 	0.000005	0.000005
0.54165	0.29367 	0.000005	0.000005
0.54187	0.31107 	0.000005	0.000005
0.54235	0.31252 	0.000005	0.000005
0.54261	0.32187 	0.000005	0.000005
0.54289	0.32574 	0.000005	0.000005
0.54350	0.34426 	0.000005	0.000005
0.54417	0.34314 	0.000005	0.000005
0.54490	0.35522 	0.000005	0.000005
0.54529	0.37600 	0.000005	0.000005
0.54612	0.38132 	0.000005	0.000005
0.54701	0.38067 	0.000005	0.000005
0.54748	0.39614 	0.000005	0.000005
0.54847	0.40887 	0.000005	0.000005
0.54951	0.41338 	0.000005	0.000005
0.55006	0.42998 	0.000005	0.000005
0.55120	0.43352 	0.000005	0.000005
0.55240	0.45350 	0.000005	0.000005
0.55432	0.46139 	0.000005	0.000005
0.55637	0.47364 	0.000005	0.000005
0.55782	0.47879 	0.000005	0.000005
0.55932	0.49780 	0.000005	0.000005
0.56088	0.51053 	0.000005	0.000005
0.56251	0.52294 	0.000005	0.000005
0.56506	0.51875 	0.000005	0.000005
0.56683	0.53985 	0.000005	0.000005
0.56866	0.54485 	0.000005	0.000005
0.57054	0.56064 	0.000005	0.000005
0.57249	0.57014 	0.000005	0.000005
0.57449	0.57594 	0.000005	0.000005
0.57654	0.58464 	0.000005	0.000005
0.57973	0.59882 	0.000005	0.000005
0.58305	0.60381 	0.000005	0.000005
0.58532	0.61413 	0.000005	0.000005
0.58884	0.62830 	0.000005	0.000005
0.59247	0.62331 	0.000005	0.000005
0.59622	0.62540 	0.000005	0.000005
0.59879	0.63845 	0.000005	0.000005
0.60273	0.62927 	0.000005	0.000005
0.60678	0.63588 	0.000005	0.000005
0.60954	0.62992 	0.000005	0.000005
0.61378	0.63378 	0.000005	0.000005
0.61666	0.63249 	0.000005	0.000005
0.62106	0.63137 	0.000005	0.000005
0.62557	0.63491 	0.000005	0.000005
0.62863	0.62911 	0.000005	0.000005
0.63173	0.62766 	0.000005	0.000005
0.63488	0.61058 	0.000005	0.000005
0.63967	0.62250 	0.000005	0.000005
0.64292	0.60865 	0.000005	0.000005
0.64620	0.60623 	0.000005	0.000005
0.64953	0.60317 	0.000005	0.000005
0.65458	0.59979 	0.000005	0.000005
0.65800	0.59930 	0.000005	0.000005
0.66493	0.58867 	0.000005	0.000005
0.67022	0.58625 	0.000005	0.000005
0.67379	0.57659 	0.000005	0.000005
0.67739	0.58158 	0.000005	0.000005
0.67920	0.57546 	0.000005	0.000005
0.68284	0.56628 	0.000005	0.000005
0.68651	0.56321 	0.000005	0.000005
0.68836	0.56338 	0.000005	0.000005
0.69207	0.56176 	0.000005	0.000005
0.69393	0.55500 	0.000005	0.000005
0.69957	0.54646 	0.000005	0.000005
0.70336	0.54485 	0.000005	0.000005
0.70526	0.54243 	0.000005	0.000005
0.70908	0.53808 	0.000005	0.000005
0.71292	0.52664 	0.000005	0.000005
0.71485	0.52278 	0.000005	0.000005
0.71485	0.51762 	0.000005	0.000005
0.71485	0.51843 	0.000005	0.000005
0.71485	0.51198 	0.000005	0.000005
0.71485	0.51875 	0.000005	0.000005
0.71485	0.51553 	0.000005	0.000005
0.71485	0.50731 	0.000005	0.000005
0.71485	0.50779 	0.000005	0.000005
0.71485	0.51778 	0.000005	0.000005
0.71485	0.51649 	0.000005	0.000005
0.71485	0.51714 	0.000005	0.000005
0.71485	0.51875 	0.000005	0.000005
0.71485	0.51456 	0.000005	0.000005
0.71485	0.51440 	0.000005	0.000005
0.71485	0.51955 	0.000005	0.000005
0.71485	0.51021 	0.000005	0.000005
0.71485	0.51424 	0.000005	0.000005
0.71485	0.50989 	0.000005	0.000005
0.71485	0.51230 	0.000005	0.000005
0.71485	0.51553 	0.000005	0.000005
0.71485	0.51955 	0.000005	0.000005
0.71485	0.51391 	0.000005	0.000005
0.71485	0.51520 	0.000005	0.000005
0.71485	0.51923 	0.000005	0.000005
0.71485	0.51359 	0.000005	0.000005
0.71485	0.51359 	0.000005	0.000005
0.72066	0.49394 	0.000005	0.000005
0.72651	0.48427 	0.000005	0.000005
0.73043	0.47219 	0.000005	0.000005
0.73240	0.47138 	0.000005	0.000005
0.73437	0.45479 	0.000005	0.000005
0.73634	0.45060 	0.000005	0.000005
0.73832	0.45124 	0.000005	0.000005
0.74030	0.44786 	0.000005	0.000005
0.74427	0.44125 	0.000005	0.000005
0.74825	0.42981 	0.000005	0.000005
0.75424	0.42160 	0.000005	0.000005
0.75624	0.40645 	0.000005	0.000005
0.76024	0.39920 	0.000005	0.000005
0.76426	0.39518 	0.000005	0.000005
0.76827	0.37423 	0.000005	0.000005
0.77229	0.36650 	0.000005	0.000005
0.77631	0.35635 	0.000005	0.000005
0.78034	0.34152 	0.000005	0.000005
0.78436	0.33137 	0.000005	0.000005
0.78838	0.32284 	0.000005	0.000005
0.79240	0.31075 	0.000005	0.000005
0.79642	0.29416 	0.000005	0.000005
0.80243	0.27998 	0.000005	0.000005
0.80643	0.27418 	0.000005	0.000005
0.81042	0.25887 	0.000005	0.000005
0.81440	0.24905 	0.000005	0.000005
0.81838	0.24502 	0.000005	0.000005
0.82431	0.22794 	0.000005	0.000005
0.82825	0.21634 	0.000005	0.000005
0.83217	0.20732 	0.000005	0.000005
0.83608	0.18815 	0.000005	0.000005
0.84190	0.17800 	0.000005	0.000005
0.84768	0.16511 	0.000005	0.000005
0.85151	0.15544 	0.000005	0.000005
0.85531	0.14110 	0.000005	0.000005
0.85909	0.12386 	0.000005	0.000005
0.86471	0.12225 	0.000005	0.000005
0.87027	0.10050 	0.000005	0.000005
0.87577	0.09164 	0.000005	0.000005
0.88298	0.07875 	0.000005	0.000005
0.88830	0.06602 	0.000005	0.000005
0.89355	0.05201 	0.000005	0.000005
0.89699	0.04637 	0.000005	0.000005
0.90040	0.04234 	0.000005	0.000005
0.90544	0.03380 	0.000005	0.000005
0.90875	0.02784 	0.000005	0.000005
0.91202	0.02236 	0.000005	0.000005
0.91524	0.01576 	0.000005	0.000005
0.91999	0.00577 	0.000005	0.000005
0.92463	0.00899 	0.000005	0.000005
0.92917	-0.00309 	0.000005	0.000005
0.93359	-0.00390 	0.000005	0.000005
0.93789	-0.00954 	0.000005	0.000005
0.94070	-0.01034 	0.000005	0.000005
0.94345	-0.00696 	0.000005	0.000005
0.94480	-0.01582 	0.000005	0.000005
0.94747	-0.01018 	0.000005	0.000005
0.95008	-0.01195 	0.000005	0.000005
0.95136	-0.01502 	0.000005	0.000005
0.95263	-0.00809 	0.000005	0.000005
0.95389	-0.01357 	0.000005	0.000005
0.95635	-0.01808 	0.000005	0.000005
0.95756	-0.00986 	0.000005	0.000005
